Conventions,abstract,date_created,file_path,geospatial_east_max,geospatial_east_min,geospatial_east_resolution,geospatial_east_units,geospatial_north_max,geospatial_north_min,geospatial_north_resolution,geospatial_north_units,history,keywords,location_accuracy_max,location_accuracy_min,survey_end_date,survey_start_date,title
"CF-1.6,ACDD-1.3","This gravity survey, 194701, Leigh Creek Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:21:41.185393,K:\alex\194701.nc,138.48029,138.19359,point,degrees_east,-30.118828,-30.576729,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 194701, AUS, SA, Earth sciences, geophysics, geoscientificInformation",100,100,30/09/1948 0:00,1/10/1947 0:00,Leigh Creek Grav
"CF-1.6,ACDD-1.3","This gravity survey, 194830, Leigh Creek Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:22:25.670393,K:\alex\194830.nc,138.46078,138.29399,point,degrees_east,-30.118729,-30.289429,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 194830, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,1/12/1948 0:00,1/11/1948 0:00,Leigh Creek Grav
"CF-1.6,ACDD-1.3","This gravity survey, 194901, Morwell Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:23:11.983393,K:\alex\194901.nc,146.46631,146.26198,point,degrees_east,-38.13381,-38.32815,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 194901, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,2/03/1949 0:00,11/01/1949 0:00,Morwell Grav
"CF-1.6,ACDD-1.3","This gravity survey, 194905, Adelaide-Melbourne Grav located in SA,VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:23:54.578393,K:\alex\194905.nc,141.65302,141.65302,point,degrees_east,-36.32852,-36.32852,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 194905, AUS, SA,VIC, Earth sciences, geophysics, geoscientificInformation",100,100,28/02/1949 0:00,1/01/1949 0:00,Adelaide-Melbourne Grav
"CF-1.6,ACDD-1.3","This gravity survey, 194906, Western Districts, Mount Gambier, Hamilton, Grav located in SA,VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:24:40.444393,K:\alex\194906.nc,142.38469,140.7547,point,degrees_east,-36.71185,-38.386868,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 194906, AUS, SA,VIC, Earth sciences, geophysics, geoscientificInformation",30,30,,,"Western Districts, Mount Gambier, Hamilton, Grav"
"CF-1.6,ACDD-1.3","This gravity survey, 194950, Balaklava Area Coalfield Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:25:25.495393,K:\alex\194950.nc,138.63634,138.14635,point,degrees_east,-33.77025,-34.31355,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 194950, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Balaklava Area Coalfield Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195002, Morwell Grav located in VIC measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:26:10.553393,K:\alex\195002.nc,146.78563,146.33101,point,degrees_east,-38.14878,-38.354153,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195002, AUS, VIC, Earth sciences, geophysics, geoscientificInformation",100,100,31/05/1950 0:00,17/01/1950 0:00,Morwell Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195005, Carnarvon-Onslow Grav located in WA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:26:55.461393,K:\alex\195005.nc,114.53802,114.53802,point,degrees_east,-23.155376,-23.155376,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195005, AUS, WA, Earth sciences, geophysics, geoscientificInformation",100,100,31/12/1950 0:00,1/10/1950 0:00,Carnarvon-Onslow Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195040, Wilkatana Boresite Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:27:38.948393,K:\alex\195040.nc,137.99681,137.75302,point,degrees_east,-32.01644,-32.42644,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195040, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Wilkatana Boresite Grav
"CF-1.6,ACDD-1.3","This gravity survey, 195050, Penola Wrattonbully Grav located in SA measures the slight variations in the earth's gravity based on the underlying structure or geology",2018-05-21T14:28:24.196393,K:\alex\195050.nc,140.97147,140.81726,point,degrees_east,-37.169537,-37.38084,point,degrees_north,Pulled from point gravity database at Geoscience Australia,"points, gravity, ground digital data, geophysical survey, survey 195050, AUS, SA, Earth sciences, geophysics, geoscientificInformation",-6,-6,,,Penola Wrattonbully Grav
